transaction_id,date,raw_description,normalised_description,category,amount_band,region
T00327,2024-04-07,Ajio *REF 6364,ajio ref 6364,Shopping,5000+,EU
T00328,2024-06-06,Prime Video NEW DELHI,prime video new delhi,Entertainment,2000-5000,SG
T00329,2024-05-03,Uber #0421,uber 0421,Travel,2000-5000,SG
T00330,2024-05-24,Essar Fuel INTL,essar fuel intl,Fuel,0-200,IN
T00331,2024-02-25,Rapido - POS TXN,rapido pos txn,Travel,5000+,IN
T00332,2024-07-06,Myntra - POS TXN,myntra pos txn,Shopping,500-2000,SG
T00333,2024-07-04,Water Utility,water utility,Bills,5000+,US
T00334,2024-10-08,Big Bazaar MUMBAI IN,big bazaar mumbai in,Groceries,5000+,SG
T00335,2024-03-06,Nature's Basket BANGALORE IN,nature's basket bangalore in,Groceries,5000+,IN
T00336,2024-03-14,Burger King INTL,burger king intl,Dining,500-2000,EU
T00337,2024-01-24,Essar Fuel NEW DELHI,essar fuel new delhi,Fuel,2000-5000,IN
T00338,2024-09-22,Jio Fiber /NETBANKING,jio fiber netbanking,Bills,500-2000,SG
T00339,2024-06-16,IndiGo Airlines BANGALORE IN,indigo airlines bangalore in,Travel,5000+,US
T00340,2024-10-30,Bank Fee MUMBAI IN,bank fee mumbai in,Others,5000+,EU
T00341,2024-12-28,Toll Plaza NEW DELHI,toll plaza new delhi,Others,5000+,SG
T00342,2024-12-10,Walmart,walmart,Groceries,500-2000,EU
T00343,2024-11-01,Burger King BANGALORE IN,burger king bangalore in,Dining,500-2000,IN
T00344,2024-01-27,IRCTC - UPI,irctc upi,Travel,5000+,US
T00345,2024-03-16,IndiGo Airlines NEW DELHI,indigo airlines new delhi,Travel,5000+,SG
T00346,2024-01-10,Shell Petrol BANGALORE IN,shell petrol bangalore in,Fuel,0-200,US
T00347,2024-12-19,Vistara MUMBAI IN,vistara mumbai in,Travel,200-500,SG
T00348,2024-02-01,BP Fuel Station NEW DELHI,bp fuel station new delhi,Fuel,5000+,SG
T00349,2024-09-26,PVR Cinemas NEW DELHI,pvr cinemas new delhi,Entertainment,500-2000,SG
T00350,2024-10-06,Croma *REF 8531,croma ref 8531,Shopping,5000+,EU
T00351,2024-04-08,Late Fee /NETBANKING,late fee netbanking,Others,500-2000,SG
T00352,2024-06-01,IndianOil NEW DELHI,indianoil new delhi,Fuel,500-2000,US
T00353,2024-09-02,More Supermarket - ONLINE,more supermarket online,Groceries,2000-5000,EU
T00354,2024-03-03,Toll Plaza /NETBANKING,toll plaza netbanking,Others,500-2000,EU
T00355,2024-01-22,Lifestyle INTL,lifestyle intl,Shopping,200-500,EU
T00356,2024-12-01,More Supermarket #0421,more supermarket 0421,Groceries,500-2000,SG
T00357,2024-10-02,More Supermarket BLR IN,more supermarket blr in,Groceries,200-500,US
T00358,2024-02-25,Target Groceries /NETBANKING,target groceries netbanking,Groceries,500-2000,US
T00359,2024-11-22,HP Petrol Pump,hp petrol pump,Fuel,5000+,US
T00360,2024-08-29,Shell Petrol #0421,shell petrol 0421,Fuel,2000-5000,EU
T00361,2024-07-27,Domino's Pizza,domino's pizza,Dining,5000+,US
T00362,2024-06-13,Rapido - UPI,rapido upi,Travel,200-500,EU
T00363,2024-09-30,More Supermarket,more supermarket,Groceries,0-200,US
T00364,2024-07-22,Jio Fiber MUMBAI IN,jio fiber mumbai in,Bills,200-500,IN
T00365,2024-01-05,IndiGo Airlines /NETBANKING,indigo airlines netbanking,Travel,500-2000,IN
T00366,2024-05-25,Target Groceries BANGALORE IN,target groceries bangalore in,Groceries,0-200,EU
T00367,2024-04-08,Rapido *REF 9261,rapido ref 9261,Travel,2000-5000,EU
T00368,2024-01-08,Cafe Coffee Day *REF 8518,cafe coffee day ref 8518,Dining,500-2000,US
T00369,2024-03-30,Annual Fee - POS TXN,annual fee pos txn,Others,5000+,US
T00370,2024-07-24,Lifestyle NEW DELHI,lifestyle new delhi,Shopping,500-2000,IN
T00371,2024-01-04,Domino's Pizza *REF 8822,domino's pizza ref 8822,Dining,500-2000,US
T00372,2024-06-17,Walmart - ONLINE,walmart online,Groceries,2000-5000,EU
T00373,2024-05-13,Target Groceries /NETBANKING,target groceries netbanking,Groceries,5000+,IN
T00374,2024-08-26,Late Fee - ONLINE,late fee online,Others,0-200,IN
T00375,2024-12-19,DMart MUMBAI IN,dmart mumbai in,Groceries,5000+,EU
T00376,2024-04-22,Subway INTL,subway intl,Dining,5000+,US
T00377,2024-07-31,Prime Video *REF 8454,prime video ref 8454,Entertainment,5000+,EU
T00378,2024-09-26,MakeMyTrip - ONLINE,makemytrip online,Travel,5000+,IN
T00379,2024-02-01,Vistara #0421,vistara 0421,Travel,5000+,IN
T00380,2024-06-16,Essar Fuel NEW DELHI,essar fuel new delhi,Fuel,200-500,US
T00381,2024-02-16,Ola Cabs - UPI,ola cabs upi,Travel,200-500,SG
T00382,2024-08-21,Uber BLR IN,uber blr in,Travel,200-500,SG
T00383,2024-07-21,Gas Company BLR IN,gas company blr in,Bills,500-2000,IN
T00384,2024-01-24,Nature's Basket,nature's basket,Groceries,200-500,IN
T00385,2024-02-05,Croma /NETBANKING,croma netbanking,Shopping,0-200,IN
T00386,2024-03-10,Uber - POS TXN,uber pos txn,Travel,2000-5000,US
T00387,2024-07-11,Croma MUMBAI IN,croma mumbai in,Shopping,2000-5000,SG
T00388,2024-04-01,Domino's Pizza - UPI,domino's pizza upi,Dining,500-2000,IN
T00389,2024-06-01,Zara *REF 4648,zara ref 4648,Shopping,0-200,IN
T00390,2024-05-06,RedBus NEW DELHI,redbus new delhi,Travel,2000-5000,US
T00391,2024-01-17,Vistara *REF 5516,vistara ref 5516,Travel,200-500,IN
T00392,2024-02-21,Amazon - ONLINE,amazon online,Shopping,200-500,IN
T00393,2024-01-23,Water Utility BANGALORE IN,water utility bangalore in,Bills,0-200,US
T00394,2024-01-29,H&M - ONLINE,h&m online,Shopping,5000+,US
T00395,2024-10-22,SonyLiv - ONLINE,sonyliv online,Entertainment,5000+,EU
T00396,2024-07-30,Bank Fee - POS TXN,bank fee pos txn,Others,200-500,US
T00397,2024-11-16,Reliance Fresh,reliance fresh,Groceries,5000+,US
T00398,2024-11-25,Zara BLR IN,zara blr in,Shopping,0-200,EU
T00399,2024-03-17,Zara INTL,zara intl,Shopping,2000-5000,SG
T00400,2024-04-25,Walmart *REF 9813,walmart ref 9813,Groceries,2000-5000,US
T00401,2024-01-30,Nature's Basket /NETBANKING,nature's basket netbanking,Groceries,200-500,SG
T00402,2024-07-17,Lifestyle NEW DELHI,lifestyle new delhi,Shopping,5000+,US
T00403,2024-08-18,IndianOil - ONLINE,indianoil online,Fuel,500-2000,IN
T00404,2024-05-17,Service Charge NEW DELHI,service charge new delhi,Others,200-500,IN
T00405,2024-09-02,Amazon #0421,amazon 0421,Shopping,200-500,US
T00406,2024-04-07,IndianOil - POS TXN,indianoil pos txn,Fuel,0-200,US
T00407,2024-07-22,Pizza Hut - ONLINE,pizza hut online,Dining,5000+,US
T00408,2024-08-26,Essar Fuel INTL,essar fuel intl,Fuel,500-2000,SG
T00409,2024-08-26,Maintenance Charge - POS TXN,maintenance charge pos txn,Others,500-2000,SG
T00410,2024-06-09,Pizza Hut INTL,pizza hut intl,Dining,200-500,EU
T00411,2024-01-09,Amazon BANGALORE IN,amazon bangalore in,Shopping,200-500,US
T00412,2024-05-31,Target Groceries BANGALORE IN,target groceries bangalore in,Groceries,5000+,SG
T00413,2024-10-18,PVR Cinemas INTL,pvr cinemas intl,Entertainment,200-500,SG
T00414,2024-09-07,BP Fuel Station NEW DELHI,bp fuel station new delhi,Fuel,500-2000,EU
T00415,2024-10-06,Rapido *REF 6770,rapido ref 6770,Travel,200-500,US
T00416,2024-02-08,IndiGo Airlines NEW DELHI,indigo airlines new delhi,Travel,0-200,IN
T00417,2024-11-18,DTH Recharge,dth recharge,Bills,2000-5000,US
T00418,2024-04-21,Shell Petrol /NETBANKING,shell petrol netbanking,Fuel,200-500,IN
T00419,2024-12-03,Vistara,vistara,Travel,5000+,SG
T00420,2024-01-07,Uber,uber,Travel,5000+,SG
T00421,2024-01-09,Gas Company /NETBANKING,gas company netbanking,Bills,500-2000,EU
T00422,2024-05-03,Myntra #0421,myntra 0421,Shopping,0-200,US
T00423,2024-05-16,Essar Fuel NEW DELHI,essar fuel new delhi,Fuel,500-2000,EU
T00424,2024-10-16,Flipkart INTL,flipkart intl,Shopping,2000-5000,SG
T00425,2024-11-30,Nayara Energy - ONLINE,nayara energy online,Fuel,500-2000,IN
T00426,2024-10-09,Airtel Postpaid MUMBAI IN,airtel postpaid mumbai in,Bills,2000-5000,SG
T00427,2024-02-12,Uber - UPI,uber upi,Travel,0-200,US
T00428,2024-09-27,RedBus - UPI,redbus upi,Travel,500-2000,IN
T00429,2024-05-18,Jio Fiber - ONLINE,jio fiber online,Bills,5000+,SG
T00430,2024-04-01,Airtel Postpaid - UPI,airtel postpaid upi,Bills,500-2000,IN
T00431,2024-12-30,Service Charge - ONLINE,service charge online,Others,5000+,US
T00432,2024-10-17,Flipkart - POS TXN,flipkart pos txn,Shopping,200-500,US
T00433,2024-12-18,Zara INTL,zara intl,Shopping,2000-5000,US
T00434,2024-04-28,Cafe Coffee Day,cafe coffee day,Dining,0-200,SG
T00435,2024-06-16,Cafe Coffee Day BANGALORE IN,cafe coffee day bangalore in,Dining,5000+,SG
T00436,2024-04-26,Mobile Recharge - POS TXN,mobile recharge pos txn,Bills,2000-5000,SG
T00437,2024-12-14,Toll Plaza MUMBAI IN,toll plaza mumbai in,Others,2000-5000,US
T00438,2024-12-31,Flipkart BANGALORE IN,flipkart bangalore in,Shopping,500-2000,US
T00439,2024-12-30,McDonald's - POS TXN,mcdonald's pos txn,Dining,200-500,SG
T00440,2024-02-16,Apple Music INTL,apple music intl,Entertainment,500-2000,IN
T00441,2024-02-22,Electricity Board BLR IN,electricity board blr in,Bills,500-2000,EU
T00442,2024-02-22,Spotify *REF 8061,spotify ref 8061,Entertainment,2000-5000,SG
T00443,2024-11-01,Airtel Postpaid INTL,airtel postpaid intl,Bills,5000+,IN
T00444,2024-07-30,Annual Fee MUMBAI IN,annual fee mumbai in,Others,0-200,EU
T00445,2024-10-19,Flipkart /NETBANKING,flipkart netbanking,Shopping,5000+,US
T00446,2024-05-17,Apple Music *REF 3274,apple music ref 3274,Entertainment,500-2000,EU
T00447,2024-05-21,IndiGo Airlines #0421,indigo airlines 0421,Travel,200-500,SG
T00448,2024-05-08,Best Buy BLR IN,best buy blr in,Shopping,0-200,EU
T00449,2024-08-22,Nayara Energy - UPI,nayara energy upi,Fuel,2000-5000,US
T00450,2024-06-19,Domino's Pizza - POS TXN,domino's pizza pos txn,Dining,0-200,SG
T00451,2024-11-29,Croma BLR IN,croma blr in,Shopping,500-2000,SG
T00452,2024-09-02,SonyLiv INTL,sonyliv intl,Entertainment,5000+,US
T00453,2024-12-21,Bank Fee MUMBAI IN,bank fee mumbai in,Others,500-2000,EU
T00454,2024-07-20,MakeMyTrip INTL,makemytrip intl,Travel,2000-5000,EU
T00455,2024-12-15,Service Charge BANGALORE IN,service charge bangalore in,Others,200-500,US
T00456,2024-05-29,Mobile Recharge BLR IN,mobile recharge blr in,Bills,200-500,SG
T00457,2024-11-20,Burger King - UPI,burger king upi,Dining,2000-5000,US
T00458,2024-07-12,DMart - POS TXN,dmart pos txn,Groceries,200-500,SG
T00459,2024-09-30,Pizza Hut BANGALORE IN,pizza hut bangalore in,Dining,2000-5000,SG
T00460,2024-02-25,Zara,zara,Shopping,500-2000,IN
T00461,2024-11-27,Nayara Energy - UPI,nayara energy upi,Fuel,500-2000,US
T00462,2024-08-08,Gas Company - UPI,gas company upi,Bills,2000-5000,EU
T00463,2024-09-18,Starbucks #0421,starbucks 0421,Dining,500-2000,US
T00464,2024-12-13,BP Fuel Station INTL,bp fuel station intl,Fuel,2000-5000,SG
T00465,2024-05-31,Hotstar,hotstar,Entertainment,2000-5000,IN
T00466,2024-06-08,Flipkart #0421,flipkart 0421,Shopping,200-500,EU
T00467,2024-06-27,Parking - ONLINE,parking online,Others,5000+,SG
T00468,2024-02-04,Ola Cabs BLR IN,ola cabs blr in,Travel,2000-5000,EU
T00469,2024-06-24,Big Bazaar /NETBANKING,big bazaar netbanking,Groceries,0-200,IN
T00470,2024-10-09,Domino's Pizza /NETBANKING,domino's pizza netbanking,Dining,200-500,US
T00471,2024-04-28,Hotstar NEW DELHI,hotstar new delhi,Entertainment,2000-5000,SG
T00472,2024-11-10,Myntra *REF 8080,myntra ref 8080,Shopping,2000-5000,IN
T00473,2024-01-03,BP Fuel Station BANGALORE IN,bp fuel station bangalore in,Fuel,2000-5000,SG
T00474,2024-10-01,HP Petrol Pump - POS TXN,hp petrol pump pos txn,Fuel,0-200,IN
T00475,2024-02-28,Hotstar INTL,hotstar intl,Entertainment,200-500,SG
T00476,2024-11-01,More Supermarket BLR IN,more supermarket blr in,Groceries,5000+,EU
T00477,2024-06-29,Lifestyle BANGALORE IN,lifestyle bangalore in,Shopping,0-200,EU
T00478,2024-12-10,IndiGo Airlines - UPI,indigo airlines upi,Travel,500-2000,IN
T00479,2024-02-29,Hotstar #0421,hotstar 0421,Entertainment,200-500,EU
T00480,2024-08-02,Hotstar /NETBANKING,hotstar netbanking,Entertainment,200-500,SG
T00481,2024-11-21,Apple Music MUMBAI IN,apple music mumbai in,Entertainment,200-500,SG
T00482,2024-04-05,BookMyShow BLR IN,bookmyshow blr in,Entertainment,500-2000,US
T00483,2024-07-02,Annual Fee BLR IN,annual fee blr in,Others,5000+,IN
T00484,2024-07-28,Water Utility *REF 4196,water utility ref 4196,Bills,2000-5000,SG
T00485,2024-03-26,RedBus /NETBANKING,redbus netbanking,Travel,2000-5000,SG
T00486,2024-05-20,Starbucks - ONLINE,starbucks online,Dining,500-2000,IN
T00487,2024-10-16,Essar Fuel - POS TXN,essar fuel pos txn,Fuel,200-500,SG
T00488,2024-10-05,Ola Cabs BANGALORE IN,ola cabs bangalore in,Travel,0-200,EU
T00489,2024-08-05,Toll Plaza,toll plaza,Others,2000-5000,US
T00490,2024-05-14,KFC - POS TXN,kfc pos txn,Dining,0-200,SG
T00491,2024-05-01,Annual Fee #0421,annual fee 0421,Others,2000-5000,IN
T00492,2024-03-25,Nayara Energy BANGALORE IN,nayara energy bangalore in,Fuel,500-2000,SG
T00493,2024-09-29,PVR Cinemas - ONLINE,pvr cinemas online,Entertainment,0-200,EU
T00494,2024-12-26,Target Groceries NEW DELHI,target groceries new delhi,Groceries,200-500,EU
T00495,2024-03-10,Reliance Fresh BANGALORE IN,reliance fresh bangalore in,Groceries,500-2000,IN
T00496,2024-05-07,Amazon - POS TXN,amazon pos txn,Shopping,200-500,US
T00497,2024-03-13,Hotstar - ONLINE,hotstar online,Entertainment,2000-5000,SG
T00498,2024-02-08,More Supermarket MUMBAI IN,more supermarket mumbai in,Groceries,2000-5000,SG
T00499,2024-08-20,Burger King NEW DELHI,burger king new delhi,Dining,500-2000,EU
T00500,2024-08-22,Vistara BANGALORE IN,vistara bangalore in,Travel,0-200,IN
T00501,2024-04-21,Annual Fee #0421,annual fee 0421,Others,5000+,SG
T00502,2024-05-25,Ajio BLR IN,ajio blr in,Shopping,500-2000,EU
T00503,2024-06-24,Toll Plaza BANGALORE IN,toll plaza bangalore in,Others,200-500,SG
T00504,2024-03-04,Airtel Postpaid #0421,airtel postpaid 0421,Bills,2000-5000,IN
T00505,2024-04-13,Prime Video BLR IN,prime video blr in,Entertainment,0-200,SG
T00506,2024-05-08,SonyLiv *REF 5489,sonyliv ref 5489,Entertainment,0-200,EU
T00507,2024-07-21,Cafe Coffee Day - UPI,cafe coffee day upi,Dining,200-500,IN
T00508,2024-12-01,More Supermarket /NETBANKING,more supermarket netbanking,Groceries,200-500,SG
T00509,2024-02-09,McDonald's,mcdonald's,Dining,200-500,SG
T00510,2024-01-05,PVR Cinemas NEW DELHI,pvr cinemas new delhi,Entertainment,2000-5000,IN
T00511,2024-09-01,Annual Fee #0421,annual fee 0421,Others,2000-5000,US
T00512,2024-02-22,KFC MUMBAI IN,kfc mumbai in,Dining,0-200,IN
T00513,2024-03-09,Maintenance Charge - POS TXN,maintenance charge pos txn,Others,200-500,SG
T00514,2024-11-08,Spotify NEW DELHI,spotify new delhi,Entertainment,5000+,IN
T00515,2024-07-29,Prime Video INTL,prime video intl,Entertainment,200-500,US
T00516,2024-03-04,MakeMyTrip #0421,makemytrip 0421,Travel,0-200,US
T00517,2024-05-06,Croma MUMBAI IN,croma mumbai in,Shopping,500-2000,US
T00518,2024-12-19,More Supermarket #0421,more supermarket 0421,Groceries,200-500,EU
T00519,2024-09-22,DTH Recharge - UPI,dth recharge upi,Bills,500-2000,US
T00520,2024-05-02,Nayara Energy MUMBAI IN,nayara energy mumbai in,Fuel,500-2000,IN
T00521,2024-11-22,RedBus #0421,redbus 0421,Travel,200-500,SG
T00522,2024-07-17,Starbucks INTL,starbucks intl,Dining,500-2000,US
T00523,2024-02-07,Croma NEW DELHI,croma new delhi,Shopping,200-500,SG
T00524,2024-04-20,Gas Company #0421,gas company 0421,Bills,0-200,EU
T00525,2024-11-17,Airtel Postpaid MUMBAI IN,airtel postpaid mumbai in,Bills,5000+,EU
T00526,2024-11-23,Lifestyle /NETBANKING,lifestyle netbanking,Shopping,2000-5000,IN
T00527,2024-09-18,SonyLiv #0421,sonyliv 0421,Entertainment,500-2000,IN
T00528,2024-10-27,HP Petrol Pump NEW DELHI,hp petrol pump new delhi,Fuel,500-2000,SG
T00529,2024-01-30,Subway /NETBANKING,subway netbanking,Dining,2000-5000,US
T00530,2024-11-09,Shell Petrol MUMBAI IN,shell petrol mumbai in,Fuel,0-200,SG
T00531,2024-01-07,Electricity Board - UPI,electricity board upi,Bills,200-500,IN
T00532,2024-03-26,Netflix *REF 9133,netflix ref 9133,Entertainment,500-2000,EU
T00533,2024-01-16,Bank Fee /NETBANKING,bank fee netbanking,Others,500-2000,IN
T00534,2024-05-14,Annual Fee MUMBAI IN,annual fee mumbai in,Others,500-2000,IN
T00535,2024-01-29,Pizza Hut BLR IN,pizza hut blr in,Dining,5000+,EU
T00536,2024-02-22,IndiGo Airlines INTL,indigo airlines intl,Travel,200-500,EU
T00537,2024-01-23,KFC /NETBANKING,kfc netbanking,Dining,5000+,IN
T00538,2024-07-15,Jio Fiber,jio fiber,Bills,2000-5000,EU
T00539,2024-04-24,BookMyShow,bookmyshow,Entertainment,5000+,SG
T00540,2024-02-09,Bank Fee MUMBAI IN,bank fee mumbai in,Others,500-2000,EU
T00541,2024-04-24,Service Charge NEW DELHI,service charge new delhi,Others,0-200,US
T00542,2024-06-08,Water Utility #0421,water utility 0421,Bills,2000-5000,EU
T00543,2024-07-07,Service Charge NEW DELHI,service charge new delhi,Others,2000-5000,IN
T00544,2024-08-25,IndianOil BANGALORE IN,indianoil bangalore in,Fuel,500-2000,US
T00545,2024-03-18,Toll Plaza BLR IN,toll plaza blr in,Others,200-500,US
T00546,2024-11-21,Water Utility,water utility,Bills,200-500,EU
T00547,2024-02-23,Electricity Board,electricity board,Bills,2000-5000,EU
T00548,2024-01-31,Essar Fuel - ONLINE,essar fuel online,Fuel,2000-5000,SG
T00549,2024-09-23,SonyLiv #0421,sonyliv 0421,Entertainment,0-200,US
T00550,2024-09-15,Croma BLR IN,croma blr in,Shopping,0-200,IN
T00551,2024-08-10,Apple Music #0421,apple music 0421,Entertainment,5000+,IN
T00552,2024-07-20,PVR Cinemas - POS TXN,pvr cinemas pos txn,Entertainment,500-2000,EU
T00553,2024-02-08,Maintenance Charge BLR IN,maintenance charge blr in,Others,500-2000,US
T00554,2024-02-24,HP Petrol Pump BANGALORE IN,hp petrol pump bangalore in,Fuel,0-200,US
T00555,2024-03-02,Prime Video BLR IN,prime video blr in,Entertainment,500-2000,SG
T00556,2024-08-25,Annual Fee - ONLINE,annual fee online,Others,2000-5000,EU
T00557,2024-12-17,Nature's Basket #0421,nature's basket 0421,Groceries,0-200,US
T00558,2024-04-20,Nature's Basket /NETBANKING,nature's basket netbanking,Groceries,5000+,IN
T00559,2024-07-21,Bank Fee #0421,bank fee 0421,Others,200-500,EU
T00560,2024-01-16,Mobile Recharge - POS TXN,mobile recharge pos txn,Bills,500-2000,US
T00561,2024-02-18,H&M NEW DELHI,h&m new delhi,Shopping,5000+,US
T00562,2024-04-23,Ola Cabs *REF 2989,ola cabs ref 2989,Travel,0-200,IN
T00563,2024-10-25,PVR Cinemas MUMBAI IN,pvr cinemas mumbai in,Entertainment,500-2000,IN
T00564,2024-04-11,Nature's Basket #0421,nature's basket 0421,Groceries,0-200,IN
T00565,2024-01-22,IndiGo Airlines #0421,indigo airlines 0421,Travel,500-2000,IN
T00566,2024-01-16,Uber *REF 8096,uber ref 8096,Travel,2000-5000,SG
T00567,2024-05-20,Lifestyle *REF 6799,lifestyle ref 6799,Shopping,200-500,US
T00568,2024-11-27,Walmart *REF 1567,walmart ref 1567,Groceries,5000+,US
T00569,2024-02-01,Walmart MUMBAI IN,walmart mumbai in,Groceries,5000+,SG
T00570,2024-04-12,Subway MUMBAI IN,subway mumbai in,Dining,200-500,SG
T00571,2024-12-31,Nayara Energy NEW DELHI,nayara energy new delhi,Fuel,0-200,SG
T00572,2024-10-16,Parking NEW DELHI,parking new delhi,Others,2000-5000,EU
T00573,2024-06-12,Parking - POS TXN,parking pos txn,Others,200-500,IN
T00574,2024-09-28,Shell Petrol - POS TXN,shell petrol pos txn,Fuel,0-200,SG
T00575,2024-02-21,Annual Fee BANGALORE IN,annual fee bangalore in,Others,200-500,US
T00576,2024-04-22,Nayara Energy - ONLINE,nayara energy online,Fuel,500-2000,IN
T00577,2024-12-23,Croma *REF 3885,croma ref 3885,Shopping,200-500,EU
T00578,2024-10-15,Toll Plaza,toll plaza,Others,500-2000,US
T00579,2024-09-08,BP Fuel Station NEW DELHI,bp fuel station new delhi,Fuel,500-2000,US
T00580,2024-01-11,Airtel Postpaid,airtel postpaid,Bills,200-500,US
T00581,2024-03-07,Uber INTL,uber intl,Travel,5000+,US
T00582,2024-03-16,Late Fee *REF 6301,late fee ref 6301,Others,0-200,IN
T00583,2024-07-10,Spotify NEW DELHI,spotify new delhi,Entertainment,500-2000,IN
T00584,2024-03-10,Flipkart INTL,flipkart intl,Shopping,500-2000,EU
T00585,2024-03-30,Apple Music - UPI,apple music upi,Entertainment,2000-5000,EU
T00586,2024-07-12,Bank Fee - UPI,bank fee upi,Others,5000+,US
T00587,2024-03-31,More Supermarket /NETBANKING,more supermarket netbanking,Groceries,500-2000,US
T00588,2024-04-03,Mobile Recharge BANGALORE IN,mobile recharge bangalore in,Bills,2000-5000,IN
T00589,2024-09-11,Annual Fee BANGALORE IN,annual fee bangalore in,Others,200-500,IN
T00590,2024-06-26,Hotstar /NETBANKING,hotstar netbanking,Entertainment,0-200,US
T00591,2024-08-16,Bank Fee - UPI,bank fee upi,Others,0-200,EU
T00592,2024-06-28,Electricity Board - ONLINE,electricity board online,Bills,200-500,IN
T00593,2024-07-16,Nature's Basket #0421,nature's basket 0421,Groceries,0-200,IN
T00594,2024-06-28,RedBus *REF 7783,redbus ref 7783,Travel,2000-5000,SG
T00595,2024-03-24,Flipkart BLR IN,flipkart blr in,Shopping,5000+,US
T00596,2024-06-12,Ola Cabs,ola cabs,Travel,500-2000,IN
T00597,2024-07-11,Big Bazaar #0421,big bazaar 0421,Groceries,500-2000,US
T00598,2024-10-31,Spotify NEW DELHI,spotify new delhi,Entertainment,0-200,EU
T00599,2024-03-21,Uber MUMBAI IN,uber mumbai in,Travel,200-500,SG
T00600,2024-07-28,Airtel Postpaid INTL,airtel postpaid intl,Bills,200-500,US
T00601,2024-02-19,More Supermarket - POS TXN,more supermarket pos txn,Groceries,500-2000,US
T00602,2024-03-19,Water Utility BANGALORE IN,water utility bangalore in,Bills,5000+,SG
T00603,2024-05-30,Electricity Board,electricity board,Bills,2000-5000,IN
T00604,2024-03-28,MakeMyTrip #0421,makemytrip 0421,Travel,0-200,US
T00605,2024-07-22,Big Bazaar BLR IN,big bazaar blr in,Groceries,0-200,EU
T00606,2024-11-24,Rapido - UPI,rapido upi,Travel,500-2000,IN
T00607,2024-04-05,Myntra INTL,myntra intl,Shopping,2000-5000,EU
T00608,2024-05-14,Uber - POS TXN,uber pos txn,Travel,2000-5000,SG
T00609,2024-12-22,IndianOil BANGALORE IN,indianoil bangalore in,Fuel,0-200,US
T00610,2024-10-28,McDonald's - UPI,mcdonald's upi,Dining,500-2000,SG
T00611,2024-10-01,Essar Fuel,essar fuel,Fuel,2000-5000,SG
T00612,2024-07-21,MakeMyTrip BLR IN,makemytrip blr in,Travel,500-2000,IN
T00613,2024-03-02,Gas Company BANGALORE IN,gas company bangalore in,Bills,5000+,US
T00614,2024-01-22,IndiGo Airlines *REF 4471,indigo airlines ref 4471,Travel,200-500,US
T00615,2024-11-17,Flipkart - UPI,flipkart upi,Shopping,2000-5000,US
T00616,2024-07-17,SonyLiv INTL,sonyliv intl,Entertainment,0-200,IN
T00617,2024-01-07,Zara INTL,zara intl,Shopping,500-2000,SG
T00618,2024-10-17,Flipkart MUMBAI IN,flipkart mumbai in,Shopping,200-500,US
T00619,2024-10-01,McDonald's BANGALORE IN,mcdonald's bangalore in,Dining,0-200,EU
T00620,2024-10-19,Parking - POS TXN,parking pos txn,Others,2000-5000,SG
T00621,2024-11-12,Uber *REF 5512,uber ref 5512,Travel,2000-5000,US
T00622,2024-01-26,Amazon MUMBAI IN,amazon mumbai in,Shopping,500-2000,US
T00623,2024-06-04,IRCTC INTL,irctc intl,Travel,0-200,EU
T00624,2024-03-09,Reliance Fresh BLR IN,reliance fresh blr in,Groceries,0-200,US
T00625,2024-08-01,More Supermarket BLR IN,more supermarket blr in,Groceries,500-2000,EU
T00626,2024-09-05,KFC BLR IN,kfc blr in,Dining,200-500,SG
T00627,2024-02-03,Annual Fee,annual fee,Others,5000+,US
T00628,2024-09-25,More Supermarket NEW DELHI,more supermarket new delhi,Groceries,2000-5000,US
T00629,2024-05-07,Jio Fiber - ONLINE,jio fiber online,Bills,200-500,IN
T00630,2024-05-20,Water Utility,water utility,Bills,500-2000,US
T00631,2024-11-21,Annual Fee BLR IN,annual fee blr in,Others,5000+,SG
T00632,2024-10-31,Starbucks - ONLINE,starbucks online,Dining,500-2000,SG
T00633,2024-06-25,IndiGo Airlines BLR IN,indigo airlines blr in,Travel,5000+,EU
T00634,2024-01-15,SonyLiv /NETBANKING,sonyliv netbanking,Entertainment,0-200,EU
T00635,2024-12-12,Amazon *REF 4511,amazon ref 4511,Shopping,200-500,US
T00636,2024-12-15,IndianOil - UPI,indianoil upi,Fuel,2000-5000,IN
T00637,2024-04-24,Water Utility *REF 3837,water utility ref 3837,Bills,5000+,IN
T00638,2024-07-11,Target Groceries - POS TXN,target groceries pos txn,Groceries,500-2000,SG
T00639,2024-06-03,Parking - POS TXN,parking pos txn,Others,200-500,SG
T00640,2024-10-14,Flipkart,flipkart,Shopping,5000+,EU
T00641,2024-02-02,Reliance Fresh - UPI,reliance fresh upi,Groceries,0-200,SG
T00642,2024-05-13,Maintenance Charge - UPI,maintenance charge upi,Others,500-2000,EU
T00643,2024-11-03,DMart *REF 9475,dmart ref 9475,Groceries,200-500,IN
T00644,2024-12-01,Croma - UPI,croma upi,Shopping,200-500,IN
T00645,2024-07-17,IRCTC - POS TXN,irctc pos txn,Travel,2000-5000,SG
T00646,2024-06-24,Gas Company /NETBANKING,gas company netbanking,Bills,5000+,US
T00647,2024-09-16,Nayara Energy NEW DELHI,nayara energy new delhi,Fuel,2000-5000,EU
T00648,2024-08-29,Nature's Basket *REF 3967,nature's basket ref 3967,Groceries,500-2000,IN
